team_name,result,xg,difference
1. FC Köln,27,31.07,4.07
A. Villa,18,24.36,6.36
Ajaccio,24,28.7,4.7
Angers,28,29.63,1.63
Arsenal,55,60.39,5.39
Atalanta,29,34.81,5.81
Athletic,47,42.99,-4.01
Atlético,50,42.48,-7.52
Augsburg,25,31.18,6.18
B'mouth,35,38.09,3.09
Barcelona,84,78.98,-5.02
Bastia,29,24.54,-4.46
Bayern,57,57.86,0.86
Betis,26,29.05,3.05
Bologna,25,25.76,0.76
Bordeaux,38,35.76,-2.24
C. Palace,29,35.4,6.4
Caen,29,34.71,5.71
Carpi,24,34.05,10.05
Celta,44,43.11,-0.89
Chelsea,41,46.21,5.21
Chievo,29,29.38,0.38
Darmstadt,23,31.35,8.35
Deportivo,34,32.5,-1.5
Dortmund,61,57.59,-3.41
Eibar,39,41.71,2.71
Empoli,29,31.82,2.82
Espanyol,33,47.51,14.51
Everton,53,45.81,-7.19
Fiorentina,45,48.41,3.41
Frankfurt,29,29.75,0.75
Frosinone,24,30.19,6.19
GFC Ajaccio,0,1.35,1.35
Genoa,39,38.67,-0.33
Getafe,27,33.72,6.72
Granada,33,33.01,0.01
Guingamp,37,34.45,-2.55
Hamburg,29,29.32,0.32
Hannover,20,23.68,3.68
Hertha BSC,30,25.83,-4.17
Hoffenheim,30,31.85,1.85
Ingolstadt,21,26.59,5.59
Inter,37,41.42,4.42
Juventus,56,51.11,-4.89
Las Palmas,32,33.15,1.15
Lazio,34,37.94,3.94
Leicester,52,53.66,1.66
Levante,27,30.32,3.32
Leverkusen,39,39.63,0.63
Lille,26,33.02,7.02
Liverpool,45,44.98,-0.02
Lorient,36,32.61,-3.39
Lyon,49,47.65,-1.35
M'gladbach,52,39.54,-12.46
Mainz,31,28.19,-2.81
Man City,54,56.75,2.75
Man Utd,38,36.11,-1.89
Marseille,37,41.01,4.01
Milan,39,39.95,0.95
Monaco,38,40.54,2.54
Montpellier,36,33.23,-2.77
Málaga,31,36.82,5.82
Nantes,28,32.24,4.24
Napoli,60,59.1,-0.9
Newcastle,31,32.44,1.44
Nice,42,34.95,-7.05
Norwich,34,34.87,0.87
PSG,75,57.91,-17.09
Palermo,28,30.71,2.71
R Madrid,86,70.76,-15.24
Reims,35,33.25,-1.75
Rennes,44,36.19,-7.81
Roma,62,48.48,-13.52
S'hampton,45,50.19,5.19
Sampdoria,36,33.09,-2.91
Sassuolo,39,40.64,1.64
Schalke,41,42.56,1.56
Sevilla,39,48.02,9.02
Sociedad,35,42.64,7.64
Sporting de Gijón,32,31.93,-0.07
Spurs,51,51.82,0.82
St Etienne,29,36.07,7.07
Stoke,36,34.07,-1.93
Stuttgart,33,46.9,13.9
Sunderland,31,31.58,0.58
Swansea,37,37.72,0.72
Torino,37,42.27,5.27
Toulouse,31,40.11,9.11
Troyes,19,24.61,5.61
Udinese,22,33.42,11.42
Valencia,31,36.99,5.99
Vallecano,34,37.2,3.2
Verona,19,26.05,7.05
Villarreal,37,29.31,-7.69
WBA,23,28.99,5.99
Watford,28,36.45,8.45
Werder,20,35.84,15.84
West Ham,47,43.47,-3.53
Wolfsburg,38,34.71,-3.29
